City,State,Cost of Living Index
Corvallis,OR,113.7
Cullman,AL,89.8
Cumberland,MD,92.1
Dalton,GA,89.7
Danville,IL,84.9
Danville,VA,87.5
Dayton,OH,89.3
Decatur,AL,88.9
Decatur,IL,86.1
Denver,CO,115
Des Moines,IA,93.3
Detroit,MI,93.5
Dothan,AL,86.8
Dover,DE,102
DuBois,PA,88.6
Dubuque,IA,91.2
Duluth,MN,94.6
Dunn,NC,90.7
Durham,NC,101.4
East Stroudsburg,PA,97.6
Eau Claire,WI,92.4
El Centro,CA,104.9
El Paso,TX,89.6
Elizabeth City,NC,91.7
Elizabethtown,KY,88.9
Elkhart,IN,89.7
Elmira,NY,93.8
Enid,OK,84.9
Erie,PA,92.9
Eugene,OR,109.8
Eureka,CA,115.9
Evansville,IN,88.1
Fairbanks,AK,110.9
Fargo,ND,93.2
Faribault,MN,102.8
Farmington,MO,85.7
Farmington,NM,93
Fayetteville,NC,90.7
Fayetteville,AR,91.8
Findlay,OH,91.5
Flagstaff,AZ,109.3
Flint,MI,86.3
Florence,SC,88.3
Florence,AL,87.7
Fond du Lac,WI,88.6
Forest City,NC,89.8
Fort Collins,CO,110.9
Fort Smith,AR,84.9
Fort Wayne,IN,87.8
Frankfort,KY,88.5
Fresno,CA,106
Gadsden,AL,87.4
Gainesville,FL,97.8
Gainesville,GA,97.1
Gallup,NM,89.5
Gettysburg,PA,99.4
Glens Falls,NY,99.7
Goldsboro,NC,89.6
Grand Forks,ND,93.1
Grand Island,NE,88.7
Grand Junction,CO,100.7
Grand Rapids,MI,94.3
Grants Pass,OR,107.9
Great Falls,MT,92.2
Greeley,CO,107.7
Green Bay,WI,92.1
Greeneville,TN,87.5
Greensboro,NC,92.7
Greenville,NC,90.7
Greenville,SC,94.9
Greenwood,SC,88.6
Gulfport,MS,88
Hammond,LA,90
Hanford,CA,105.7
Harrisburg,PA,97.6
Harrisonburg,VA,97
Hartford,CT,106.4
Hattiesburg,MS,87
Helena,MT,102.4
Hickory,NC,91.6
Hilo,HI,139.9
Hilton Head Island,SC,109.7
Hinesville,GA,92
Hobbs,NM,88.7
Homosassa Springs,FL,95.5
Hot Springs,AR,88.1
Houma,LA,91.8
Houston,TX,96.9
Huntington,WV,85.1
Huntsville,AL,91.7
Huntsville,TX,91.5
Hutchinson,KS,84.4
Idaho Falls,ID,92.6
Indiana,PA,91.6
Indianapolis,IN,91.5
Iowa City,IA,95.1
Ithaca,NY,103.3
Jackson,MI,87.7
Jackson,MS,88.5
Jackson,TN,86.7
Jacksonville,FL,100.3
Jacksonville,NC,93.8
Jamestown,NY,91.3
Janesville,WI,90.4
Jefferson City,MO,87.2
Johnson City,TN,89.6
Johnstown,PA,88.6
Jonesboro,AR,86.3
Joplin,MO,86.1
Kahului,HI,165.5
Kalamazoo,MI,89.1
Kalispell,MT,109.8
Kankakee,IL,92.5
Kansas City,MO,92.8
Kapaa,HI,170.2
Keene,NH,103.2
Kennewick,WA,101.7
Key West,FL,141.9
Killeen,TX,89.1
Kingsport,TN,87.6
Kingston,NY,106.2
Klamath Falls,OR,95.9
Knoxville,TN,93.1
Kokomo,IN,86
La Crosse,WI,93
Lafayette,LA,91.4
LaGrange,GA,86.2
Lake Charles,LA,90.8
Lake City,FL,92.6
Lake Havasu City,AZ,98.8
Lakeland,FL,96.7
Lancaster,PA,101.2
Lansing,MI,89.4
Laredo,TX,91.6
Las Cruces,NM,90.6
Las Vegas,NV,103.1
Laurel,MS,86
Lawrence,KS,94.1
Lawton,OK,84.2
Lebanon,PA,97.3
Lewiston,ID,94.4
Lewiston,ME,99.8
Lexington,KY,92.3
Lima,OH,87.5
Lincoln,NE,95.1
Little Rock,AR,89.4
London,KY,84.6
Longview,TX,91.1
Longview,WA,102.3
Lubbock,TX,89.9
Lufkin,TX,88.3
Lumberton,NC,83.9
Lynchburg,VA,95.4
Macon,GA,88.7
Madera,CA,109.1
Madison,WI,101.7
Manchester,NH,110.8
Manhattan,KS,92.1
Manitowoc,WI,87.3
Mankato,MN,96.9
Mansfield,OH,87.5
Marinette,WI,86
Marion,IN,81.9
Marion,OH,86.1
Marquette,MI,91.3
Marshall,TX,90.2
Martinsville,VA,85.5
McAllen,TX,86.8
Meadville,PA,89
Medford,OR,109.1
Memphis,TN,89.8
Merced,CA,107.4
Meridian,MS,81.5
Michigan City,IN,88.8
Midland,MI,87.1
Midland,TX,100.6
Milwaukee,WI,94.8
Minot,ND,89.8
Missoula,MT,103.2
Mobile,AL,89.6
Modesto,CA,111.7
Monroe,LA,89.1
Monroe,MI,90.5
Montgomery,AL,88.7
Morehead City,NC,102.5
Morgantown,WV,89
Morristown,TN,88.7
Moses Lake,WA,95.5
Mount Airy,NC,89.8
Mount Pleasant,MI,86.5
Mount Vernon,WA,111.1
Muncie,IN,84.9
Muskegon,MI,87.8
Muskogee,OK,81.6
Myrtle Beach,SC,96.4
Nacogdoches,TX,89.6
Napa,CA,150.3
Naples,FL,111.7
Nashville,TN,102.3
New Bern,NC,90.5
New Castle,PA,88.7
New Haven,CT,110.9
New Orleans,LA,94.3
New Philadelphia,OH,89.2
New York,NY,131
Niles,MI,89.9
North Wilkesboro,NC,90.6
Oak Harbor,WA,123.3
Ocala,FL,96.2
Ocean City,NJ,110.5
Odessa,TX,96.3
Ogden,UT,100.9
Ogdensburg,NY,89
Oklahoma City,OK,89
Olean,NY,89.3
Olympia,WA,111.5
Omaha,NE,93.7
Opelousas,LA,86.2
Orangeburg,SC,85
Orlando,FL,102.9
Oshkosh,WI,90.4
Ottawa,IL,86.9
Owensboro,KY,87.5
Owosso,MI,84.3
Paducah,KY,85.4
Palatka,FL,92.2
Panama City,FL,103
Parkersburg,WV,85.3
Pensacola,FL,98.9
Peoria,IL,87.6
Philadelphia,PA,105.3
Phoenix,AZ,105.8
Pine Bluff,AR,83.5
Pittsburgh,PA,94.5
Pittsfield,MA,106.6
Plattsburgh,NY,93.6
Pocatello,ID,90.2
Port Angeles,WA,106.5
Port St. Lucie,FL,103
Portland,ME,114.8
Portland,OR,118.7
Portsmouth,OH,85.2
Pottsville,PA,86.6
Prescott,AZ,105.8
Providence,RI,111.6
Provo,UT,102.3
Pueblo,CO,93.2
Punta Gorda,FL,100.9
Quincy,IL,87.7
Racine,WI,95.6
Raleigh,NC,101.6
Rapid City,SD,95.8
Reading,PA,97.6
Redding,CA,107.1
Reno,NV,108.3
Richmond,IN,84.7
Richmond,VA,100.4
Richmond,KY,90.3
Riverside,CA,116.8
Roanoke Rapids,NC,83.3
Roanoke,VA,95
Rochester,MN,99.5
Rochester,NY,97.9
Rockford,IL,88.9
Rocky Mount,NC,89.7
Rome,GA,90.2
Roseburg,OR,100
Roswell,NM,87.2
Russellville,AR,84.9
Sacramento,CA,120.9
Saginaw,MI,84.1
Salem,OR,105.8
Salinas,CA,140.1
Salisbury,MD,103.7
Salt Lake City,UT,107.7
San Angelo,TX,92.3
San Antonio,TX,93.7
San Diego,CA,137.9
San Francisco,CA,183
San Jose,CA,181.1
San Luis Obispo,CA,138.7
Sandusky,OH,90.3
Santa Cruz,CA,163.1
Santa Fe,NM,106.7
Santa Rosa,CA,145.3
Savannah,GA,98.8
Scranton,PA,92.9
Searcy,AR,85.5
Seattle,WA,129.3
Sebring,FL,94
Seneca,SC,93.8
Sevierville,TN,102.1
Shawnee,OK,82.4
Sheboygan,WI,90
Shelby,NC,87.7
Shelton,WA,108.2
Sherman,TX,92
Show Low,AZ,100.6
Shreveport,LA,87.2
Sierra Vista,AZ,95.1
Sioux City,IA,88.2
Sioux Falls,SD,94.3
Somerset,PA,90.1
South Bend,IN,88.3
Spartanburg,SC,91.6
Spokane,WA,99.9
Springfield,IL,88.3
Springfield,MA,107.6
Springfield,MO,87.6
Springfield,OH,88.4
St. Cloud,MN,97.3
St. George,UT,100.1
St. Joseph,MO,87
St. Louis,MO,91
State College,PA,102.5
Statesboro,GA,91.7
Staunton,VA,96.1
Stevens Point,WI,91.9
Stillwater,OK,86.6
Stockton,CA,113.8
Sumter,SC,88.8
Sunbury,PA,89.2
Syracuse,NY,96.6
Talladega,AL,86.7
Tallahassee,FL,98
Tampa,FL,102.6
Terre Haute,IN,86.2
Texarkana,TX,87.3
The Villages,FL,101.9
Toledo,OH,88.8
Topeka,KS,87
Torrington,CT,104.9
Traverse City,MI,98.9
Trenton,NJ,107.9
Truckee,CA,129.1
Tucson,AZ,99.7
Tullahoma,TN,88.3
Tulsa,OK,88.7
Tupelo,MS,87.2
Tuscaloosa,AL,92.9
Twin Falls,ID,90.2
Tyler,TX,93
Ukiah,CA,124.3
Utica,NY,95.3
Valdosta,GA,89.8
Vallejo,CA,128
Vineland,NJ,99.2
Virginia Beach,VA,101.1
Visalia,CA,104.3
Waco,TX,90.4
Walla Walla,WA,100.1
Warner Robins,GA,91.9
Warsaw,IN,92.4
Washington,DC,123.8
Waterloo,IA,88.1
Watertown,WI,96.9
Watertown,NY,99
Wausau,WI,90
Wenatchee,WA,105.9
Whitewater,WI,97.2
Wichita Falls,TX,86
Wichita,KS,88
Williamsport,PA,95.4
Wilmington,NC,100.2
Wilson,NC,86.8
Winchester,VA,98.8
Winston-Salem,NC,92.1
Wooster,OH,93.8
Worcester,MA,114.7
Yakima,WA,97.7
York,PA,98
Youngstown,OH,87.2
Yuba City,CA,109.9
Yuma,AZ,94.6
Zanesville,OH,88.6
Bloomington,IL,90.4
California,MD,106.1
Crestview,FL,105.3
Glenwood Springs,CO,127
Greenfield Town,MA,105.9
Hermiston,OR,98
Holland,MI,94.5
Jefferson,GA,96.9
Lafayette,IN,89.8
Los Angeles,CA,143.4
Sarasota,FL,105.8
Salem,OH,87.2
Santa Maria,CA,146.6
Honolulu,HI,166.5
Wisconsin Rapids,WI,87.3
Stamford,CT,125.2
Fort Myers,FL,103.4
Dallas,TX,100.2
Davenport,IA,88.3
Daytona Beach,FL,101.6
Hagerstown,MD,101.5
Logan,UT,96.4
Louisville,KY,93.2
Miami,FL,112.8
Minneapolis,MN,107.5
Ventura,CA,135.5
Melbourne,FL,100.3
Vero Beach,FL,100
Weirton,WV,82.6
Wheeling,WV,84.5
New London,CT,107.3
Victoria,TX,90.4
